id,signal,side,signal_time_utc,price_est,entry,sl,tp1,tp2,tp3,risk,tp_hits,status,result,r,closed_by_utc,trend,mtf
1,Buy,Buy,2026-09-18T03:32Z,4340.14,,,,,,,TP1 TP2,closed,TP2,2,2026-09-18T04:16Z,,
2,Sell,Sell,2026-09-18T04:16Z,4359.65,,,,,,,,closed,No TP,-1,2026-09-18T04:29Z,,
3,Buy+,Buy,2026-09-18T04:29Z,4353.07,,,,,,,TP1 TP2,closed,TP2,2,2026-09-18T05:30Z,,
4,Sell,Sell,2026-09-18T05:30Z,4367.53,,,,,,,,closed,No TP,-1,2026-09-18T05:37Z,,
5,Buy+,Buy,2026-09-18T05:37Z,4361.34,4370.93,4362.9143,4378.9457,4386.9614,4394.9772,8.0157,TP1 TP2 TP3,open,TP3 so far,,,Bullish,1m+ 3m+ 5m+ 15m+ 30m+ 1H+ 2H+ 4H+ 8H+ D-
